time,Node Name,CPU Count,Allocated Memory,Node CPU,Node Memory,Node Network Receive,Node Network sent,NameSpace,Deployment Name,Pod Name,Assigned Container CPU,Assigned Container Memory,Pod CPU,Pod Memory,Bytes Received,Bytes Sent
2020-10-06 13:02:33.672596,slave3,1,1883952,0.9665454545454523,877624.0,200160.58181818182,241818.5090909091,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.0030299899851017895,312440.0,1432.8976981087376,1579.8949737434357
2020-10-06 13:02:33.725249,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.002947649414381978,221948.0,1424.6105359743085,1570.2232062713183
2020-10-06 13:02:33.770689,slave3,1,1883952,0.9665454545454523,877624.0,200160.58181818182,241818.5090909091,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0030164399134097824,282512.0,1406.4462434743134,1551.2975713096769
2020-10-06 13:02:33.836637,slave1,1,1883952,0.9845454545454563,634452.0,24046.16363636364,35697.545454545456,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.002951437565161661,583804.0,1382.6980363547939,1524.7127484953494
2020-10-06 13:02:33.902858,slave4,1,1883952,0.9907272727272712,593732.0,49533.36363636363,58036.92727272727,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.009394761322844258,611960.0,8312.540716612379,6849.42996742671
2020-10-06 13:02:36.006910,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003094165983821857,293396.0,1427.0856286633466,1571.8566832664935
2020-10-06 13:02:36.068270,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.003055240791931254,240728.0,1452.3091719533172,1599.3489559250559
2020-10-06 13:02:36.111074,slave3,1,1883952,0.9676363636363674,877644.0,197720.96363636362,239588.63636363635,fedlearn,client3,client3-6b5d4579b7-g4xhk,1,700,0.0030299899851017895,312440.0,1432.8976981087376,1579.8949737434357
2020-10-06 13:02:36.155935,slave2,1,1883952,0.9894545454545401,842920.0,27533.745454545457,36613.27272727272,fedlearn,client4,client4-5cd9d776bd-28bs7,1,700,0.002947649414381978,221948.0,1422.4605374141463,1567.5985058440776
2020-10-06 13:02:36.206687,slave3,1,1883952,0.9676363636363674,877644.0,197720.96363636362,239588.63636363635,fedlearn,client5,client5-b7ffc7bfc-xsjdn,1,700,0.0030164399134097824,282512.0,1160.8451438687032,1279.1084873533557
2020-10-06 13:02:36.253897,slave1,1,1883952,0.9845454545454563,634452.0,24046.16363636364,35697.545454545456,fedlearn,client6,client6-5dfc7544c8-f49v2,1,700,0.0031615511854293436,583804.0,1382.6980363547939,1524.7127484953492
2020-10-06 13:02:36.300135,slave4,1,1883952,0.9907272727272712,593732.0,49533.36363636363,58036.92727272727,fedlearn,server,server-559df49f7b-m8vm5,1,700,0.009394761322844258,611960.0,7234.456858588753,5962.691390559853
2020-10-06 13:02:39.034589,slave2,1,1883952,0.989836178839614,842928.0,27418.971254022796,36447.499045437195,fedlearn,client1,client1-7bd7595cc7-jtwfj,1,700,0.003094165983821857,293396.0,1427.0856286633464,1575.447909754479
2020-10-06 13:02:39.082372,slave2,1,1883952,0.989836178839614,842928.0,27418.971254022796,36447.499045437195,fedlearn,client2,client2-57749dd7bb-kwmvf,1,700,0.003055240791931254,240728.0,1254.3169432590485,1382.111734507787
